room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
14502283,1461,54346523,Shared room,,Kenya,,Nairobi,33,5,1,1,,100,,Home next to the National Park!,58:34.2,-1.36057,36.761223,0101000020E610000044FB58C16F61424014B35E0CE5C4F5BF
12181515,1461,52207070,Shared room,,Kenya,,Kilifi,3,5,4,1,,65,,family room,58:32.5,-3.252685,40.126621,0101000020E610000050FEEE1D35104440A18499B67F050AC0
5385690,1461,3528139,Shared room,,Kenya,,Mombasa,1,4,12,1,,70,,Geo Mara Mombasa Beach Getaway,58:32.5,-3.967296,39.749705,0101000020E6100000E7525C55F6DF4340B6696CAF05BD0FC0
18011354,1461,2689184,Shared room,,Kenya,,Nairobi,1,4,6,1,,80,,Westlands Backpackers,58:32.5,-1.248991,36.796196,0101000020E61000005F9A22C0E96542402FF99FFCDDFBF3BF
16296016,1461,106613972,Shared room,,Kenya,,Laikipia,0,4.5,6,1,,75,,A home away from home!,58:32.5,0.009103,37.091233,0101000020E610000072A8DF85AD8B4240D0285DFA97A4823F
872309,1461,4583407,Shared room,,Kenya,,Nairobi,8,1,2,1,,75,,Escapade Nest  - B & B Sleeps 2,58:32.5,-1.292178,36.814079,0101000020E610000021AE9CBD3368424061C5A9D6C2ACF4BF
16082140,1461,104806976,Shared room,,Kenya,,Nairobi,0,5,1,1,,67,,Apartment-wifi and kitchen available,58:32.5,-1.212083,36.839839,0101000020E6100000E27327D87F6B4240E199D024B164F3BF
11453077,1461,60220077,Shared room,,Kenya,,Mombasa,1,4,2,1,,45,,Barizi Apartment,58:30.8,-4.033121,39.716149,0101000020E610000014083BC5AADB4340473EAF78EA2110C0
2614251,1461,13384571,Shared room,,Kenya,,Nairobi,8,4,3,1,,45,,Serene Accomodation,58:30.8,-1.267705,36.765277,0101000020E6100000C4B0C398F4614240639CBF098548F4BF
502592,1461,2480262,Shared room,,Kenya,,Narok,4,1,16,1,,50,,Tented accommodation in Masai Mara,58:30.8,-1.605606,35.30648,0101000020E6100000657094BC3AA74140992EC4EA8FB0F9BF
866818,1461,4554740,Shared room,,Kenya,,Mombasa,0,5,2,1,,45,,Room for rent in NICE 2bd home,58:30.8,-4.003896,39.70503,0101000020E610000075594C6C3EDA434043572250FD0310C0
2613788,1461,13384571,Shared room,,Kenya,,Nairobi,0,5,3,1,,45,,Short stay Accomodation.,58:30.8,-1.267733,36.766698,0101000020E61000004DF4F92823624240A1F5F065A248F4BF
8139004,1461,2689184,Shared room,,Kenya,,Machakos,0,3,4,1,,47,,Home place,58:30.8,-1.363871,36.917673,0101000020E61000000BB6114F76754240B267CF656AD2F5BF
5299975,1461,27452960,Shared room,,Kenya,,Kiambu,8,4,10,1,,45,,"Tigoni Homestay,Limuru",58:30.8,-1.127385,36.679467,0101000020E61000000ADB4FC6F8564240EF0390DAC409F2BF
9334156,1461,48445828,Shared room,,Kenya,,Mombasa,0,5,2,1,,55,,hotbox besides mombasa city stadium,58:29.2,-4.045663,39.664136,0101000020E6100000520C906802D543408B8C0E48C22E10C0
4706933,1461,22636645,Shared room,,Kenya,,Nairobi,81,5,3,1,,60,,Cozy 1bd apt in the heart of Nairob,58:29.1,-1.263079,36.795796,0101000020E6100000D124B1A4DC654240EB3A54539235F4BF
778319,1461,4104099,Shared room,,Kenya,,Nairobi,0,4,12,1,,50,,SOUTHHOOD GUEST VILLA,58:29.1,-1.304575,36.856575,0101000020E61000001DC9E53FA46D424001DE02098ADFF4BF
18664426,1461,121366927,Shared room,,Kenya,,Taita Taveta,8,4,13,1,,50,,lake jipe camp,58:29.1,-3.600175,37.775281,0101000020E6100000E71A66683CE34240B003E78C28CD0CC0
8324034,1461,42763869,Shared room,,Kenya,,Nairobi,2,5,3,1,,60,,3 rooms available for rent,58:29.1,-1.296785,36.778004,0101000020E61000001F1494A2956342400118CFA0A1BFF4BF
11888934,1461,57367018,Shared room,,Kenya,,Nairobi,0,3,2,1,,45,,2 self contained rooms,58:29.1,-1.293227,36.878368,0101000020E61000002DEDD45C6E704240F8DD74CB0EB1F4BF
19764879,1461,97678841,Shared room,,Kenya,,Mombasa,0,3,2,1,,50,,The Palace,58:29.1,-4.043575,39.701128,0101000020E6100000AA27F38FBED943405BB1BFEC9E2C10C0
721405,1461,1366466,Shared room,,Kenya,,Kajiado,22,3,4,1,,60,,Maasai Hut - maasaiimmersion.com,58:29.1,-2.541953,36.790764,0101000020E6100000556D37C137654240B1C05774EB5504C0
11451760,1461,60210735,Shared room,,Kenya,,Nairobi,0,3,2,1,,60,,moses chege best accomodation style,58:29.1,-1.255794,36.7526,0101000020E61000001C7C61325560424059350873BB17F4BF
16987629,1461,2787227,Shared room,,Kenya,,Kwale,0,3,2,1,,50,,Diani Breeze Carens house,58:29.1,-4.30365,39.577599,0101000020E6100000E59997C3EEC94340BBB88D06F03611C0
18251938,1461,126133438,Shared room,,Kenya,,Taita Taveta,22,4,8,1,,50,,River Lumi Resort - Taveta,58:29.1,-3.300049,37.724104,0101000020E61000008E739B70AFDC42407D94111780660AC0
19132598,1461,133718661,Shared room,,Kenya,,Kajiado,0,4,1,1,,45,,Spacious serene private room for comfort,58:29.1,-1.499494,36.967741,0101000020E6100000C9FFE4EFDE7B424087C5A86BEDFDF7BF
12159641,1461,65305603,Shared room,,Kenya,,Nairobi,53,5,2,1,,10,,Vegan/Fruitarian Accomodation,58:27.0,-1.319224,36.847065,0101000020E61000000A4B3CA06C6C4240A79201A08A1BF5BF
7803872,1461,41076000,Shared room,,Kenya,,Nairobi,0,4,1,1,,40,,Godials Bed & Breakfast,58:27.0,-1.28823,36.786852,0101000020E61000006765FB90B7644240069E7B0F979CF4BF
8657111,1461,37401809,Shared room,,Kenya,,Uasin Gishu,0,5,2,1,,10,,bobi's nest,58:27.0,0.521865,35.292375,0101000020E61000008195438B6CA5414050AA7D3A1EB3E03F
9700465,1461,50093098,Shared room,,Kenya,,Nairobi,0,5,2,1,,10,,A  room in a family house,58:27.0,-1.28321,36.897029,0101000020E61000002448A5D8D17242400E677E350788F4BF
15700804,1461,6828809,Shared room,,Kenya,,Nairobi,55,5,2,1,,10,,Faiths Place,58:27.0,-1.262892,36.880181,0101000020E6100000C1C760C5A97042409C14E63DCE34F4BF
13220775,1461,72216703,Shared room,,Kenya,,Kilifi,0,1,2,1,,10,,Lit et petit dejeune,58:27.0,-3.218963,40.116472,0101000020E61000002A73F38DE80E4440BB4560AC6FC009C0
2082430,1461,10581656,Shared room,,Kenya,,Kwale,0,1,10,1,,25,,tabby kenyan host mom,58:27.0,-4.302066,39.576451,0101000020E61000008D5F7825C9C9434024EF1CCA503511C0
1314403,1461,1366466,Shared room,,Kenya,,Nairobi,1,1,4,1,,11,,Olympic Estate Guesthouse - Dorm ,58:27.0,-1.313941,36.778443,0101000020E61000006B662D05A463424001FA7DFFE605F5BF
14681639,1461,3064131,Shared room,,Kenya,,Nairobi,0,1,2,1,,20,,Share a space with a local expat in Nairobi,58:27.0,-1.293859,36.782458,0101000020E61000002D3F7095276442400B2AAA7EA5B3F4BF
7795110,1461,41026839,Shared room,,Kenya,,Nairobi,0,5,6,1,,35,,Dorm Beds - (pp) Ladies and Men,58:27.0,-1.281659,36.818216,0101000020E61000002F88484DBB6842402BFC19DEAC81F4BF
14751017,1461,91943486,Shared room,,Kenya,,Kwale,21,5,2,1,,18,,4 Bedroom Furnished Beach Villa,58:27.0,-4.232515,39.597192,0101000020E610000067B796C970CC43405951836918EE10C0
15225965,1461,96771558,Shared room,,Kenya,,Kiambu,0,5,1,1,,12,,Private room in a two bedroom house.,58:27.0,-1.24543,36.660966,0101000020E61000004CE2AC889A5442400551F70148EDF3BF
14616350,1461,90403809,Shared room,,Kenya,,Nairobi,1,5,3,1,,30,,,58:26.9,-1.323366,36.827278,0101000020E6100000A359D93EE4694240A036AAD3812CF5BF
14399454,1461,88506328,Shared room,,Kenya,,Nairobi,2,5,2,1,,40,,Serene Furnished Studio Apartment,58:26.9,-1.295039,36.776188,0101000020E610000019C6DD205A63424074B680D07AB8F4BF
16953657,1461,102606887,Shared room,,Kenya,,Kwale,22,5,2,1,,23,,Cool breeze and secure apartment,58:26.9,-4.293883,39.577846,0101000020E6100000ED0F94DBF6C94340C76647AAEF2C11C0
8876929,1461,46456044,Shared room,,Kenya,,Nairobi,0,5,2,1,,30,,Large one bedroom apartment,58:26.9,-1.32412,36.881563,0101000020E61000008C2E6F0ED77042401DACFF73982FF5BF
4421468,1461,20782499,Shared room,,Kenya,,Nairobi,3,5,2,1,,36,,Furnished room to let  Kilimani,58:25.9,-1.293456,36.786927,0101000020E610000071AB2006BA644240240A2DEBFEB1F4BF
1786883,1461,9377532,Shared room,,Kenya,,Nairobi,34,5,16,1,,15,,Manyatta Backpackers,58:25.9,-1.289566,36.805733,0101000020E61000006B274A42226742405D8940F50FA2F4BF
