neighborhood,reviews,ratings,price,name,id,image,theme
Mombasa,1,4.0,70,Geo Mara Mombasa Beach Getaway,1,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,Sandy Beaches
Nairobi,1,4.0,80,Westlands Backpackers,2,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,City
Nairobi,0,5.0,67,lcons Pride,3,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,City
Mombasa,1,4.0,45,Barizi Apartment,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,Sandy Beaches
Mombasa,0,5.0,45,Room rent in NICE 2bd home,5,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,Sandy Beaches
Machakos,0,3.0,47,Home place,6,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,Small Town
Kiambu,8,4.0,45,"Tigoni Homestay,Limuru",7,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,Town
Mombasa,0,5.0,55,Hotbox Mombasa,8,https://a0.muscache.com/im/pictures/3df7ba0a-d91f-4ab6-8cb4-4eab2cc579f1.jpg?im_w=720,Sandy Beaches
Nairobi,0,4.0,50,SOUTHHOOD GUEST VILLA,9,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
Taita Taveta,8,4.0,50,Lake Jipe camp,10,https://a0.muscache.com/im/pictures/1c1a925b-f68d-4bac-b782-95ea91307b7b.jpg?im_w=720,Town
Mombasa,0,3.0,50,The Palace,11,https://stavica.com/wp-content/uploads/2019/05/ghh-1200x675.jpg,Sandy Beaches
Kajiado,22,3.0,60,Maasai Hut - maasaiimmersion,12,https://a0.muscache.com/im/pictures/miso/Hosting-827836200973769125/original/732ff727-edb9-4a06-bb62-6d2390170d68.jpeg?im_w=720,Countryside
Nairobi,0,3.0,60,Moses Chege Accomodation,13,https://a0.muscache.com/im/pictures/miso/Hosting-606213417751506770/original/10d8b011-cdbe-4881-bf8b-8fdc0d3378e5.jpeg,City
Kwale,0,3.0,50,Diani Breeze Carens house,14,https://a0.muscache.com/im/pictures/miso/Hosting-43553913/original/3a48029d-8cba-4af0-8a88-3e770b3fa370.jpeg?im_w=720,Sandy Beaches
Taita Taveta,22,4.0,50,River Lumi Resort - Taveta,15,https://a0.muscache.com/im/pictures/6b3f31bc-5e0c-4c02-a4e3-d359e835bdb2.jpg?im_w=720,Town
Nairobi,53,5.0,10,Vegan Place Accomodation,16,https://a0.muscache.com/im/pictures/94aed887-abed-48b7-b4a2-db0b9076ce53.jpg?im_w=720,City
Nairobi,0,4.0,40,Godials Bed & Breakfast,17,https://a0.muscache.com/im/pictures/miso/Hosting-50128567/original/0f41419c-e552-4900-89d0-357cadddfbd9.jpeg?im_w=720,City
Uasin Gishu,0,5.0,10,Bobi's nest,18,https://a0.muscache.com/im/pictures/822ffaf0-8a1f-499a-bdf8-f81916665a1f.jpg?im_w=720,Small Town
Nairobi,0,5.0,10,A room in a family house,19,https://cf.bstatic.com/xdata/images/hotel/max1024x768/469302281.jpg?k=42283a42355b0a1c8d493dd91667b7c5de15c0e947e893fe9ce5b999e50154b0&o=&hp=1,City
Nairobi,55,5.0,10,Faiths Place,20,https://miro.medium.com/v2/resize:fit:639/1*93h3X8T_pgKwhQ7LVgZBSQ.jpeg,City
Nairobi,0,5.0,35,Dorm Beds - (pp) Ladies Men,21,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,City
Kwale,21,5.0,18,4 Bedroom Furnished Beach Villa,22,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,Sandy Beaches
Kiambu,0,5.0,12,Private room in a two bedroom house.,23,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,Town
Nairobi,1,5.0,30,Valley Arcade,24,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,City
Nairobi,3,5.0,36,Lilly Suite,25,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,City
Nairobi,34,5.0,15,Manyatta Backpackers,26,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,City
Nairobi,24,5.0,35,Godials Bed & Breakfast,27,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
